title,content_id
충주 미륵대원지 삼층석탑,1688445
충주 미륵대원지 석등,1688487
충주 미륵대원지 석조귀부,1689855
충주 미륵대원지 석조보살의좌상,1688484
충주 미륵리 석조여래입상,250315
충주 미륵리 오층석탑,1689865
충주 민속공예거리,128010
충주 박팽년 사당,125963
충주 백운암 철조여래좌상,2789890
충주 봉황리 마애불상군,1689111
충주 부흥사 방단적석유구,1689909
충주 상대촌농촌체험마을,129344
충주 석보군 묘소,1689154
충주 숭선사지,1689185
충주 숭선사지 당간지주,1689163
충주 신청리 지석묘,1689222
충주 신흥사 석조 나한상,1690073
충주 억정사지 대지국사탑비,1689237
충주 영모사,1687866
충주 오갑사지 석조여래좌상,1687927
충주 원평리 삼층석탑,1689263
충주 원평리 석조여래입상,1688454
충주 이수일 묘소,1688617
충주 이수일 신도비,1688659
충주 이시진 묘소,1689291
충주 임충민공 충렬사,250302
충주 장미산성,1688071
충주 정토사지 법경대사탑비,1689336
충주 제금당,1627247
충주 조동리 선사유적,1689374
충주 조동리 지석묘,1689397
충주 지당리 석조여래입상,1690189
충주 창동리 마애여래상,1627325
충주 창동리 오층석탑,1688477
충주 창룡사 다층 청석탑,1689421
충주 청녕헌,1690248
충주 청룡사 위전비,1689453
충주 최응성 고가,1005548
충주 추평리 삼층석탑,1690044
충주 탄금대와 탄금대공원,125870
충주 탑평리 칠층석탑,125983
충주 활옥동굴,2726311
충주다목적댐 물 문화관,2465869
충주댐,1627330
충주댐벚꽃길,3075171
충주시 반려동물 놀이터,3111841
충주자연생태체험관,1690085
충주체험관광센터,3112056
충주향교,1627220
충주호,125872
충주호 유람선,2606955
충주호 출렁다리,2761695
충주호관광선 청풍나루,1939796
충청북도교육문화원,1729789
취묵당,1679399
친수테마공원,3033891
칠보산,127837
코리아크래프트브류어리,2390406
탁사정,127904
탄금공원(구 세계무술공원),2435097
탄금호 일렉트릭,2784032
탈골암(충북),482195
태교사,1956287
팔봉서원,129464
팔봉제빵점,2990172
팔음산마을,2848290
팝스월드 단양,2997829
팡팡그라운드,3057785
평동전통떡마을,1938395
포레스트 리솜 해브나인 스파 (해브나인 힐링스파),2769846
포암산(충주),125826
표충사,127277
품바재생예술체험촌,2911352
풍류문화관,2435103
하강서원,1956290
하늘다리,2615390
하늘재,127853
하담 김시양 신도비,1679426
하방 인공습지(비점오염저감시설),2761714
한국기초과학지원연구원(오창),2554350
한국전통문화체험학교,1686562
